id,name,full_name,description,html_url,stargazers_count,contributor_count,commit_count_estimate,chatbot_type,type_confidence,application_confidence,overall_confidence,application_reason,selected,final_notes
964595559,Planning-Agent,Blattvorhang/Planning-Agent,An intelligent learning assistant system providing personalized learning planning based on user profiles.,https://github.com/Blattvorhang/Planning-Agent,6,3,30,General,0.7142857142857143,0.65,0.6821428571428572,"User app: uses_fastapi, user_setup, user_api_config",,
870646183,predictive-content-generator,datarobot-community/predictive-content-generator,,https://github.com/datarobot-community/predictive-content-generator,12,2,17,General,0.9629629629629629,0.4,0.6814814814814815,"User app: uses_streamlit, user_setup",,
828487848,AI-IELTS-Speaking,LegendZDY/AI-IELTS-Speaking,AI IELTS Speaking assistant is a fun app to learn English speaking,https://github.com/LegendZDY/AI-IELTS-Speaking,18,4,30,General,0.8571428571428571,0.5,0.6785714285714286,"User app: uses_streamlit, user_setup, ui_in_description",,
614919836,Senpwai,SenZmaKi/Senpwai,A desktop app for tracking and batch downloading anime,https://github.com/SenZmaKi/Senpwai,262,3,30,General,0.9473684210526315,0.4,0.6736842105263158,"User app: user_setup, ui_in_description",,
680918523,shell-ai,ricklamers/shell-ai,LangChain powered shell command generator and runner CLI,https://github.com/ricklamers/shell-ai,1126,11,30,General,0.8888888888888888,0.45,0.6694444444444444,"User app: user_setup, user_api_config",,
314785884,appmap-python,getappmap/appmap-python,AppMap client agent for Python,https://github.com/getappmap/appmap-python,103,12,30,General,0.8888888888888888,0.45,0.6694444444444444,"User app: uses_django, ui_in_name, ui_in_description",,
875625940,devops-gpt,devopshobbies/devops-gpt,"An AI-powered assistant that simplifies DevOps tasks with intelligent prompts, reducing repetitive work and enhancing productivity",https://github.com/devopshobbies/devops-gpt,59,8,30,General,0.9866666666666667,0.35,0.6683333333333333,"User app: uses_fastapi, user_automation",,
608574029,ChatGPT-in-Slack,seratch/ChatGPT-in-Slack,Swift demonstration of how to build a Slack app that enables end-users to interact with a ChatGPT bot,https://github.com/seratch/ChatGPT-in-Slack,507,13,30,General,0.8846153846153846,0.45,0.6673076923076923,"User app: user_api_config, ui_in_description",,
608660982,ChuanhuChatGPT,GaiZhenbiao/ChuanhuChatGPT,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI.",https://github.com/GaiZhenbiao/ChuanhuChatGPT,15434,30,30,General,0.9333333333333333,0.4,0.6666666666666667,"User app: uses_gradio, ui_in_description",,
827945025,Upwork-AI-jobs-applier,kaymen99/Upwork-AI-jobs-applier,"AI tool for automating Upwork job applications using AI agents to find and qualify jobs, write personalized cover letters, and prepare for interviews based on your skills and experience.",https://github.com/kaymen99/Upwork-AI-jobs-applier,78,2,29,General,0.8333333333333334,0.5,0.6666666666666667,"User app: user_api_config, ui_in_name, ui_in_description",,
625659174,Robby-chatbot,yvann-ba/Robby-chatbot,"AI chatbot 🤖 for chat with CSV, PDF, TXT files 📄 and YTB videos 🎥 | using Langchain🦜 | OpenAI | Streamlit ⚡",https://github.com/yvann-ba/Robby-chatbot,809,5,30,General,0.9285714285714286,0.4,0.6642857142857144,"User app: uses_streamlit, user_setup",,
626161045,snowChat,kaarthik108/snowChat,Chat snowflake - Text to SQL,https://github.com/kaarthik108/snowChat,528,2,30,General,0.9230769230769231,0.4,0.6615384615384616,"User app: uses_streamlit, user_setup",,
946708780,openai-cua-sample-app,openai/openai-cua-sample-app,Learn how to use CUA (our Computer Using Agent) via the API on multiple computer environments.,https://github.com/openai/openai-cua-sample-app,1088,10,30,General,0.92,0.4,0.66,"User app: user_api_config, ui_in_name",,
860476957,wcgw,rusiaaman/wcgw,Shell and coding agent on claude desktop app,https://github.com/rusiaaman/wcgw,569,8,30,General,0.9090909090909091,0.4,0.6545454545454545,"User app: user_setup, ui_in_description",,
863056433,speech-assistant-openai-realtime-api-python,twilio-samples/speech-assistant-openai-realtime-api-python,,https://github.com/twilio-samples/speech-assistant-openai-realtime-api-python,294,4,16,General,0.8125,0.45,0.63125,"User app: user_setup, user_api_config",,
637374313,github-cctray,mansab/github-cctray,A lightweight App that provides all Github Workflows of a Repository in CCTray Specification.,https://github.com/mansab/github-cctray,11,2,30,General,0.9523809523809523,0.3,0.6261904761904762,"User app: user_setup, ui_in_description",,
801678003,PixelPruner,theallyprompts/PixelPruner,"PixelPruner is a user-friendly image cropping app for AI-generated art. It supports PNG, JPG, JPEG, and WEBP formats. Easily crop, preview, and manage images with interactive previews, thumbnail views, rotation tools, and customizable output folders. Streamline your workflow and achieve perfect crops every time with PixelPruner.",https://github.com/theallyprompts/PixelPruner,41,2,30,General,0.95,0.3,0.625,"User app: user_setup, ui_in_description",,
612816791,gpt-cli,kharvd/gpt-cli,"Command-line interface for ChatGPT, Claude and Bard",https://github.com/kharvd/gpt-cli,720,17,30,General,0.8695652173913043,0.35,0.6097826086956522,"User app: user_api_config, ui_in_description",,
430366028,smauto,robotics-4-all/smauto,Domain-Specific Language for the definition and execution of automation apps for smart environments.,https://github.com/robotics-4-all/smauto,7,3,30,General,0.9090909090909091,0.3,0.6045454545454545,"User app: user_setup, ui_in_description",,
700780425,extended_openai_conversation,jekalmin/extended_openai_conversation,Home Assistant custom component of conversation agent. It uses OpenAI to control your devices.,https://github.com/jekalmin/extended_openai_conversation,1225,20,30,General,0.9,0.3,0.6,User app: openai_agent_app,,
400172588,Jarvis-Desktop-Voice-Assistant,kishanrajput23/Jarvis-Desktop-Voice-Assistant,Your Own Personal Voice Assistant. It's a mini python project.,https://github.com/kishanrajput23/Jarvis-Desktop-Voice-Assistant,389,7,30,General,0.8888888888888888,0.3,0.5944444444444444,User app: user_automation,,
908070642,Aria-UI,AriaUI/Aria-UI,"Open-sourced, Fast and Context-aware Action Grounding from GUI Instructions for GUI/Computer-use Agents",https://github.com/AriaUI/Aria-UI,375,2,14,General,0.8333333333333334,0.35,0.5916666666666667,"User app: ui_in_name, ui_in_description",,
725711648,OpenACI,simular-ai/OpenACI,Open Agent Computer Interface,https://github.com/simular-ai/OpenACI,85,5,30,General,0.8333333333333334,0.35,0.5916666666666667,"User app: user_api_config, ui_in_description",,
880303263,ComfyUI_OmniParser,smthemex/ComfyUI_OmniParser,Try OmniParser inComfyUI which a simple screen parsing tool towards pure vision based GUI agent.,https://github.com/smthemex/ComfyUI_OmniParser,40,2,16,General,0.8333333333333334,0.35,0.5916666666666667,"User app: ui_in_name, ui_in_description",,
897942218,Sunshine-App-Automation,CommonMugger/Sunshine-App-Automation,Automates Sunshine shortcuts with artwork,https://github.com/CommonMugger/Sunshine-App-Automation,15,2,18,General,0.8333333333333334,0.35,0.5916666666666667,"User app: user_setup, ui_in_name",,
956481842,secops-mcp,securityfortech/secops-mcp,"All-in-one security testing toolbox that brings together popular open source tools through a single MCP interface. Connected to an AI agent, it enables tasks like pentesting, bug bounty hunting, threat hunting, and more.",https://github.com/securityfortech/secops-mcp,134,4,11,General,0.875,0.3,0.5875,"User app: user_setup, ui_in_description",,
608755746,TerminalGPT,adamyodinsky/TerminalGPT,"TerminalGPT - Terminal-based ChatGPT personal assistant app. Provides optimized, tailored answers for your machine's terminal.",https://github.com/adamyodinsky/TerminalGPT,239,4,30,General,0.8181818181818182,0.35,0.5840909090909091,"User app: user_api_config, ui_in_description",,
971553572,agentic-aiops-semantic-kernel,Azure-Samples/agentic-aiops-semantic-kernel,"This project implements an agentic app using Magentic Orchestration from Semantic Kernel deployed on Azure Kubernetes Service. The system receive alerts from Azure Monitor to automatically diagnose and resolve AKS cluster issues, demonstrating how AI agents enhance Kubernetes operations.",https://github.com/Azure-Samples/agentic-aiops-semantic-kernel,12,3,23,General,0.8571428571428571,0.3,0.5785714285714285,"User app: user_setup, ui_in_description",,
893265692,ComfyUI-IF_LLM,if-ai/ComfyUI-IF_LLM,"Run Local and API LLMs, Features Gemini2 image generation, DEEPSEEK R1, QwenVL2.5, QWQ32B, Ollama, LlamaCPP LMstudio, Koboldcpp, TextGen, Transformers or via APIs Anthropic, Groq, OpenAI, Google Gemini, Mistral, xAI and create your own charcters assistants (SystemPrompts) with custom presets",https://github.com/if-ai/ComfyUI-IF_LLM,137,2,30,General,0.8,0.35,0.575,"User app: user_setup, ui_in_name",,
916672696,AdaptAI,gadhvirushiraj/AdaptAI,"AdaptAI: A Personalized Solution to Sense Your Stress, Fix Your Mess, and Boost Productivity",https://github.com/gadhvirushiraj/AdaptAI,8,4,30,General,0.75,0.4,0.575,"User app: uses_streamlit, user_setup",,
973157608,Nina_advanced_api_mcp,PaDev1/Nina_advanced_api_mcp,Interface for AI agents to use your astrophotography setup using N.I.N.A advanced api,https://github.com/PaDev1/Nina_advanced_api_mcp,5,2,16,General,0.8461538461538461,0.3,0.573076923076923,"User app: uses_fastapi, ui_in_description",,
224924055,metaflow-service,Netflix/metaflow-service,:rocket: Metadata tracking and UI service for Metaflow!,https://github.com/Netflix/metaflow-service,210,21,30,General,0.8333333333333334,0.3,0.5666666666666667,"User app: user_setup, ui_in_description",,
892977055,Chatchat-Lite,imClumsyPanda/Chatchat-Lite,从零开始基于 LangGraph 和 Streamlit 实现基于本地模型的 RAG、Agent 应用,https://github.com/imClumsyPanda/Chatchat-Lite,69,3,30,General,0.7333333333333333,0.4,0.5666666666666667,"User app: uses_streamlit, user_setup",,
889594701,TalkTuahBank,aurelisajuan/TalkTuahBank,"🏅 TalkTuahBank — Overall 1st Place @ HackUTD 2024 & Goldman Sachs Winner | AI-powered, voice-based banking assistant accessible via any phone. Built with Retell AI, OpenAI Swarm, Next.js, Pinata/IPFS, and multilingual support.",https://github.com/aurelisajuan/TalkTuahBank,18,3,30,General,0.7272727272727273,0.4,0.5636363636363637,"User app: openai_agent_app, ui_in_description",,
945147433,simple-computer-use,pnmartinez/simple-computer-use,"Open source implementation for computer use, using light OCR models and LLMs.   Get Android app in link below.",https://github.com/pnmartinez/simple-computer-use,28,4,30,General,0.8181818181818182,0.3,0.5590909090909091,"User app: user_setup, ui_in_description",,
922548230,Open-WebUI-Functions,owndev/Open-WebUI-Functions,"Open-WebUI-Functions is a collection of custom pipelines, filters, and integrations designed to enhance Open WebUI. These functions enable seamless interactions with Azure AI, N8N, Google Gemini and other AI models, providing dynamic request handling, preprocessing, and automation.",https://github.com/owndev/Open-WebUI-Functions,165,7,30,General,0.6666666666666666,0.45,0.5583333333333333,"User app: user_setup, ui_in_name, ui_in_description",,
627427591,shield,pegasi-ai/shield,Protect your AI agents and GenAI apps with confidence,https://github.com/pegasi-ai/shield,355,2,30,General,0.8,0.3,0.55,"User app: uses_streamlit, ui_in_description",,
942797771,agentic-apps,agntcy/agentic-apps,Agentic Applications built using IoA components,https://github.com/agntcy/agentic-apps,69,19,30,General,0.75,0.35,0.55,"User app: ui_in_name, ui_in_description",,
5429637,data_workflow,neutrons/data_workflow,SNS data workflow manager and reporting app,https://github.com/neutrons/data_workflow,6,23,30,General,0.8,0.3,0.55,"User app: uses_django, ui_in_description",,
809482393,Arabic_story_generator,mohammad-albarham/Arabic_story_generator,Generating a story in Arabic via Gen AI,https://github.com/mohammad-albarham/Arabic_story_generator,7,2,23,General,0.6666666666666666,0.4,0.5333333333333333,"User app: uses_gradio, user_setup",,
893482569,LLM_App_Final,0verL1nk/LLM_App_Final,📚 基于人工智能的文献阅读助手 | AI-powered Literature Reading Assistant  🎯 主要功能：智能文献分析、关键内容提取、文段优化、交互式问答、思维导图可视化  🛠️ 技术栈：Python + Streamlit + LangChain + pyecharts  🌟 让学术文献阅读更轻松、更高效！,https://github.com/0verL1nk/LLM_App_Final,20,2,30,General,0.5,0.55,0.525,"User app: uses_streamlit, user_setup, ui_in_name",,
965658623,agents-humanoversight,microsoft/agents-humanoversight,Human Oversight for Autonomous AI Agents using Azure Logic Apps + Python,https://github.com/microsoft/agents-humanoversight,17,6,13,General,0.7368421052631579,0.3,0.5184210526315789,"User app: user_setup, ui_in_description",,
973894655,Faraday-Web-Researcher-Agent,DennisDRX/Faraday-Web-Researcher-Agent,"Faraday: An Autonomous Web Research Agent (LangGraph/Streamlit). 🕵️♀️ Investigates queries using dynamic tools (Tavily, Google, NewsAPI, etc.), gathers multi-source info, and synthesizes structured reports in a Streamlit UI. Features agentic workflow & source tracking.",https://github.com/DennisDRX/Faraday-Web-Researcher-Agent,7,2,21,General,0.5,0.5,0.5,"User app: uses_streamlit, user_setup, ui_in_description",,
942821649,langgraph-home-assistant,benjichat/langgraph-home-assistant,,https://github.com/benjichat/langgraph-home-assistant,104,2,3,General,0.6666666666666666,0.3,0.4833333333333333,User app: langgraph_user_app,,
208840533,django-process,Jesrat/django-process,An app to create powerful process flow and run jobs and their tasks crontab style.,https://github.com/Jesrat/django-process,22,2,30,General,0.6666666666666666,0.3,0.4833333333333333,"User app: uses_django, ui_in_description",,
872175317,microagent,chrislatimer/microagent,A fork of OpenAI Swarm that supports Groq and Anthropic,https://github.com/chrislatimer/microagent,123,2,10,General,0.6363636363636364,0.3,0.46818181818181814,User app: openai_agent_app,,
713975809,LablabAutogen,Josephrp/LablabAutogen,A generalist agent that can go online and accomplish complex tasks using semantic-kernel and autogen.,https://github.com/Josephrp/LablabAutogen,29,3,16,General,0.5,0.4,0.45,"User app: uses_gradio, user_setup",,
893321973,streamlit-langgraph-HITL-copy-generator,yamato0811/streamlit-langgraph-HITL-copy-generator,StreamlitとLangGraphで実装したHuman-in-the-loop広告コピー文生成アプリケーション,https://github.com/yamato0811/streamlit-langgraph-HITL-copy-generator,9,3,30,General,0.45454545454545453,0.4,0.42727272727272725,"User app: uses_streamlit, user_setup",,
876418513,contoso-sales-azure-openai-assistants-api,Azure-Samples/contoso-sales-azure-openai-assistants-api,,https://github.com/Azure-Samples/contoso-sales-azure-openai-assistants-api,35,2,30,General,0.3333333333333333,0.5,0.41666666666666663,"User app: openai_agent_app, uses_chainlit",,
710990858,streamlit-app-action,streamlit/streamlit-app-action,Simple GitHub Action workflows for validating a Streamlit app,https://github.com/streamlit/streamlit-app-action,19,4,18,General,0.3,0.45,0.375,"User app: uses_streamlit, ui_in_name, ui_in_description",,
956338290,JARVIS,DawoodTouseef/JARVIS,"JARVIS Virtual Assistant, inspired by Marvel's Iron Man, is an AI-powered tool with voice activation, system monitoring, and proactive suggestions from camera and screenshot analysis. Built with PyQt5 and OpenCV, it boosts productivity with a witty, JARVIS-like charm.",https://github.com/DawoodTouseef/JARVIS,10,2,3,General,0.4444444444444444,0.3,0.37222222222222223,"User app: user_setup, ui_in_description",,
868847693,encord-agents,encord-team/encord-agents,"Build and deploy AI agents for automated labeling, quality assurance, and workflow automation in the Encord ecosystem.",https://github.com/encord-team/encord-agents,14,11,30,General,0.42857142857142855,0.3,0.36428571428571427,"User app: uses_fastapi, ui_in_description",,
